Model,Split,Batch_size,Initial_lr,Accuracy_epoch_10,Accuracy_epoch_20,Accuracy_epoch_30,Accuracy_epoch_40,Accuracy_epoch_50,Time
mlp,70 - 30,64,0.001,0.1284,0.1474,0.1455,0.1398,0.1407,1072.9507
mlp,80 - 20,64,0.001,0.1300,0.1455,0.1428,0.1416,0.1421,1122.5278
mlp,90 - 10,64,0.001,0.1307,0.1568,0.1562,0.1562,0.1575,1169.7339
resnet18_trained,70 - 30,64,0.001,0.3859,0.4526,0.4648,0.4654,0.4529,18669.3845
resnet18_trained,80 - 20,64,0.001,0.3793,0.4546,0.4811,0.4807,0.4793,21250.4600
resnet18_trained,90 - 10,64,0.001,0.4038,0.4858,0.5025,0.4962,0.5015,23320.9796
resnet18_freeze_conv,70 - 30,64,0.001,0.7854,0.7884,0.7868,0.8114,0.8165,12100.4700
resnet18_freeze_conv,80 - 20,64,0.001,0.7950,0.7978,0.7924,0.8259,0.8283,13034.4448
resnet18_freeze_conv,90 - 10,64,0.001,0.7942,0.7935,0.7965,0.8298,0.8331,15788.0846
resnet50_freeze_conv,70 - 30,16,0.001,0.8601,0.8665,0.8695,0.8845,0.8900,34328.3664
resnet50_freeze_conv,80 - 20,16,0.001,0.8665,0.8690,0.8759,0.8946,0.8973,36148.0942
resnet50_freeze_conv,90 - 10,16,0.001,0.8569,0.8585,0.8670,0.8922,0.8955,37409.9665
resnet101_freeze_conv,70 - 30,64,0.001,0.8777,0.8804,0.8817,0.8914,0.8908,6900.9356
resnet101_freeze_conv,80 - 20,64,0.001,0.8816,0.8844,0.8842,0.8961,0.8971,7502.3391
resnet101_freeze_conv,90 - 10,64,0.001,0.8768,0.8785,0.8811,0.8922,0.8912,7625.4215
wideresnet101_2_freeze_conv,70 - 30,16,0.001,0.8785,0.8780,0.8814,0.8950,0.9000,14995.5625
wideresnet101_2_freeze_conv,80 - 20,16,0.001,0.8798,0.8827,0.8901,0.9010,0.9049,15834.6527
wideresnet101_2_freeze_conv,90 - 10,16,0.001,0.8713,0.8850,0.8801,0.8961,0.9053,16666.9129
resnext101_64x4d_freeze_conv,70 - 30,8,0.001,0.8375,0.8661,0.8505,0.8718,0.8828,17491.8415
resnext101_64x4d_freeze_conv,80 - 20,8,0.001,0.8729,0.8648,0.8754,0.9100,0.9059,18745.8078
resnext101_64x4d_freeze_conv,90 - 10,8,0.001,0.8082,0.8435,0.8644,0.8915,0.8827,19810.3606
